Serial No.,Name of the Project,Project Activity,Name of the Contact Person,Sector,Address Line.1,Address Line.2,Address Line.3,Telephone,Fax,Email
113,AQUA DYNAMICS (PVT) LTD.,"WINDSURFING SAILS ,TOOL BAGS & WINDSTOP,COFFIN INLAYS",MR. BERNARD WELDT,Manufacturing,NO. 222,KIMBULAPITIYA RD,NEGOMBO,315553500,312227140,bernard@aquadynamics.lk
114,AQUA JET (PVT) LTD.,750 KW MINI HYDRO POWER PLANT,M. M. S. MUNASINGHE,Utilities,"NO. 133/19 A, NAWALA RD,","NARAHENPITA,",COLOMBO 05,011-5669140,011-2369339,aquajetplc67@gmail.com
115,AQUA MARINES INTL. (PVT) LTD.,ORNAMENTAL FISH & AQU. PLANTS,SRILAL PERERA - ACCOUTANT,Agriculture,"60/1, SRI GNANENDRA RD.",RATMALANA.,,"011-2605202, 077 3799747",2635825,accounts@aqua-marines.net
116,AQUA N GREEN LTD.,FISH FARM & PROCESS FISH,ANURA PARANAGAMA,Agriculture,"No. 206, Continental Residencies",Periyamulla,Negombo,"071 2734164,26 2050240",,aparana@panlanka.net
117,AQUA POWER (PVT) LTD.,2 MW HYDRO POWER PLANT,MS. SAWANI ABEYSIRI MUNASINGHE -H.O.ACC.,Utilities,NO. 50/4C,PELWATTA RD.,NUGEGODA.,5374300,5372000,aquapowersl@gmail.com
118,AQUA TRADING GLOBAL (PVT) LTD.,EXPORT TRADING HOUSE,INDIKA ABEYSIRI - FINANCIAL CONTROLER,Apparel,THANAHENPITIYA ESTATE,GIRINDARA,KAPUGODA,0364279613/611,036 4279699,indikaa@lineaqua.com
119,AQUA-PACKAGING (PVT) LTD.,POLY BAGS & PLASTIC HEADERS,V. SIVAKUMAR,Manufacturing,"NO. 90/1, CANAL ROAD,",HENDALA.,,5114411,2932962,siva@aqualk.com
120,AQUA-PACKAGING (PVT) LTD. - EXP2,POLY BAGS,LALITH  PEIRIS - DIRECTOR,Manufacturing,NO. 122,KEW RD.,COLOMBO 02.,2300100,"2300111, 2697438",lalith@aqualk.com
121,ARALIYA GREEN CITY (PVT) LTD.,57 SERVICE APARTMENTS & 34 ROOMED HOTEL,R D.G RAJAPAKSHA,Tourism & Leisure,"NO:190, PAHALABIYAWILA","MAHARA, KADAWATHA",,077 7667698,011 2970218,sisira@araliyalandsandhomes.lk
122,ARALIYA GREEN HILLS HOTELS (PVT) LTD - E,ARALIYA GREEN HILLS HOTELS (PVT) LTD - EXPANSION -I,MR.P G W SIRISENA,Tourism & Leisure,"NO:10, GLENFALL ROAD,",NUWARA-ELIYA,,+94 522 224150,,
123,ARALIYA GREEN HILLS HOTELS (PVT) LTD.,HOTEL - 98 ROOMS,P G K SIRISENA,Tourism & Leisure,"39C GALABADAWATTA,NARANWALA,GAMPAHA",,,"0773121569,,,,,,,,0332255351",,gmstc@sltnet.lk
124,ARAMCO POLYTHENE (PVT) LTD.,POLY BAGS & ROLLS,MR. K. MAHESWARAN - FINANCIAL MANAGER,Manufacturing,"NO. 42, 7TH LANE",BLOEMENDHAL RD.,COLOMBO 13.,"2470288, 2438324",2438243,akshayam@sltnet.lk
125,ARDMEL MANUFACTURING (PVT) LTD.,MACHINERY FOR CLOTHING & MOTOR INDUSTRY,ARUNA KARUNARATNE,Manufacturing,ARDMEL MANF. (PVT) LTD.,B.E.P.Z.,BIYAGAMA.,"24,651,650,777,587,600",2487974,aruna@ardmel.lk
126,ARPICO IND DEVELOPMENT CO. (PVT) LTD.,INDUSTRIAL PARK,DILHARA KARUNARATHNE,Infrastructure,"310 , HIGH LEVEL RD.",NAWINNA,MAHARAGAMA.,4310722,4310777,dilhara.karunaratne@arpico.com
127,ARPIMALLS DEVELOPMENT COMPANY (PVT) LTD.,SHOPPING MALLS,DILHARA KARUNARATNE,Infrastructure,"NO. 310, HIGH LEVEL RD.",NAWINNA,MAHARAGAMA.,4310500 EXT. 751,4310777,dilhara.karunaratne@arpico.com
128,ARPITALIAN COMPACT SOLES (PVT) LTD.,RUBBER PRODUCTS FOR FOOTWEAR,R.G. U. RUWAN BANDARA - ACCOUNTANT,Manufacturing,ZONE 11,"B.E.P.Z. , BIYAGAMA",MALWANA.,4817378-80,2489241,upeksha.g@arpico.com
129,ART & CRAFT TRADING INTL. (PVT) LTD.,TRADING HOUSE,P.M.J. MUHANDIRAM - MANAGING DIRECTOR,Services,"NO. 45/2,  MODERAWILA INDUSTRIAL ESTATE",MORATUWA RD.,PANADURA.,038-2235272,038-2234114,sritoys@sltnet.lk
130,ASCON CONSTRUCTION AND INV. (PVT) LTD.,160 LOW INCOMING HOUSING UNITS,SATHAK A KADAR - DIRECTOR,Infrastructure,"NO.873 , KANDY RD.",KELANIYA.,,7777000,7777160,
131,ASCOT DEVELOPMENTS (PVT) LTD.,HIGH - RISE BUILDING,ASANKA SAMARASEKERA,Infrastructure,"80/3A, LAYARDS ROAD",COLOMBO 05.,,2040444,2507690,asankas@ascot.lk
132,ASHOK GARMENTS (PVT) LTD.,GARMENTS,MR S. A GUNAWARDENA - M/D,Apparel,"NO. 31/3, DUTUGEMUNU MW.",GALAWILAWATTE,HOMAGAMA.,2855040/2895398,2855040,ashok@ashokgarments.com
133,ASIA BROADCASTING CORPORATION (PVT) LTD.,RADIO BROADCASTING STATION,CHINTHAKA  DE   ALWIS.,Utilities,"LEVEL 35, EAST  TOWER","WORLD  TRADE  CENTER ,",COLOMBO 01.,2337555,2346870,chinthaka@asiabroadcasting.lk
134,ASIA CRUISE LINES & TRAVELS LTD.,PROVIDE LEISURE & CRUISE SERVICE FOR TOURISTS,D K DASANAYAKE,Tourism & Leisure,"56A, MISSION ROAD,",KOTTE,,011 2865731 / 077 7530415,011 2865731,
135,ASIA PACIFIC INTST.OF I.T. LANKA P. LTD.,INFORMATION TECH. INSTITUTE,NISHANTHI JATAWARDENA,Knowledge Services,"NO 388,UNION PLACE",COLOMBO 02.,,117675103,112687249,nishanthi@apiit.lk
136,ASIA POWER (PVT) LTD.,51 MW DIESEL POWER GEN.PLANT,ANOMA GAMAGE,Utilities,"155, MAYA AVENUE,",COLOMBO 06,,4443879,4542504,anoma@appl.lk
137,ASIA SIYAKA WARE HOUSING (PVT) LTD.,WAREHOUSING COMPLEX,MR.ROSHANTHA MUNASINGHE--FINANCE MANAGER,Services,"""DEUTSCHE HOUSE"",320,T.B.JAYAH MAWATHA ,",(DARLY RD) COLOMBO 10.,,"26,781,464,600,700",2678145,roshantha@siyaka.lk
138,ASIABIKE INDUSTRIAL LTD.,BICYCLES AND BICYCLE PARTS,M.F.M. ISTHIARK,Manufacturing,"NO. 114,  GALLE RD.",HENAMULLA,PANADURA.,038-2232327,038-2234104,Isthiark@asiabike.lk
139,ASIAN CUTTINGS LANKA (PVT) LTD.,TROPICAL PLANTS,M.D.S.D.KARUNARATNE - GM,Agriculture,KANDAWALA,KATANA.,,031-2241599,031-2240152,asiancut@sltnet.lk
140,ASIAN HOTELS AND PROPERTIES LTD.,OFFICE CUM APARTMENT COMPLEX,S INOKE PERERA - COMMERCIAL OPERATION,Infrastructure,"NO 77, GALLE RD.",COLOMBO 03.,,5540404,5540410,inoka@crescat.com
141,ASIAN HOTELS AND PROPERTIES LTD.-EXP 2,OFFICE CUM APARTMENT COMPLEX,STEPHAN ANTHONISZ - CEO,Infrastructure,ASIAN HOTELS AND PROPERTIES LTD.,"NO. 77, GALLE RD.",COLOMBO 03.,5540404 - ext. 200,5540410,stephan@crescat.com
142,ASIAN LOGISTICS PARK (PVT) LTD.,WAREHOUSING PROJECT,A M SHANIL FERNANDO,Services,NO. 14,SRI DHARMAKIRTHIYARAMA RD.,COLOMBO 03,077 2724403,112335833,shanilfd@gmail.com
143,ASIRI SURGICAL HOSPITAL LTD.,TWO TIER PRIVATE HOSPITAL,M B G WICKRAMASIRI,Infrastructure,NO. 21,KIRIMANDALA MAWATHA,COLOMBO 05,"4524400 , 4527310",4527311,wickrama@asiri.lk
144,ASIRI SURGICAL HOSPITAL LTD. - EXPANSION,MEDICAL SERVICES,DR.M KARUNARATNE-CHIEF OPERATING OFFICER,Infrastructure,ASIRI HOSPITALS LTD.,"NO. 21, KIRIMANDALA MW.",COLOMBO 05,"4524400,2368403/5/7","45,128,914,527,311",coo@asiri.lk
145,ASPIC HOMES (PVT) LTD,CONSTRUCT SEMI HOUSES AT BATTARAMULLA,ERROL SMITH - CEO,Infrastructure,223/4,KATUWANA RD.,HOMAGAMA.,2891614 / 077 3785780,5644875,esmithsjak@sltnet.lk
146,ASPIRE COLLEGE OF HIGHER EDUCATION (P) L,AVIATION TRAINING CENTRE,MS. KATE LOWE,Knowledge Services,"NO. 139,",JAWATTA ROAD,COLOMBO 05,772355542,,katelowe.aspire@gmail.com
147,ASSET RADIO BROADCASTING (PVT) LTD., RADIO BROADCASTING STATION,KRANIKA S BANDARA,Utilities,105/3 05TH LANE,COLOMBO 03,,112375968,112372972,kranika@nethfm.com
148,ASSOCIATED CEAT (PVT) LTD.,AUTOMOTIVE TYRES,K U KOTELAWALA,Manufacturing,P.O. BOX 52,NUNGAMUGODA,KELANIYA.,0718-558476,4810034,krishanthi@ceatsrilanka.com
149,ASSOCIATED RESORT DEVELOPERS (PVT) LTD.,50 ROOMED HOTEL,RAMLI GHAFFOOR,Tourism & Leisure,"NO. 49/16, ICELAND BLDG.",GALLE RD.,COLOMBO 03,011 2331322,011 5371200,ramli@ugaescapes.com
150,ASTRAL LEISURE GROUP (PVT) LTD.,HOTEL,MARTIN FULLERTON,Tourism & Leisure,LORDS RESTAURANT,80 B POROUTHA ROAD,ETTHUKALA,0777 234721,,martin@lordsrestaurant.net
151,ATHENA AQUACULTURE (PVT) LTD.,"MILK FISH FARM ,GROW SEA BASS,THILAPIA & PRAWNS",I H ABEYRATNE,Agriculture,NO. 112/2,D S SENANAYAKE MW.,COLOMBO 08,"0777 312470, 5523223",,indika@tallulah.lk
152,ATLANTIS DEVELOPMENTS (PVT) LTD., RESIDENTIAL APARTMENT,SHIRAZ DAWOOD - GENERAL MANAGER,Infrastructure,"96 , CHEMBUR - MANKHURD LINK ROAD",SHIVAJI NAGAR,MUMBAI - 400043,071-8440500,9.12226E+11,shiraz.dawood@anpg.in
153,ATTUNE LANKA (PVT) LTD,"COMPUTER SOFTWARE,SOFTWARE CONSULTANCY SER.",MALSHA RANDENIYA,Knowledge Services,"NO 19 FLC TOWER,","DUDLEY SENANAYAKE MW,",,4761626,4761599,malsha.randeniya@attuneconsulting.com
154,AURO RESORTS TANGALLE (PVT) LTD.,TOURIST HOTEL - 25 ROOMS,J H N PERERA - DIRECTOR,Tourism & Leisure,COMSEC MANAGEMENT SERVICES (PTE) LTD.,"NO. 43, VIMUKTHI MW.","PELAWATTA, BATTARAMULLA","5555259, 5533527, 5575228",553527,comsec@dlalognet.lk
155,AUSSEE OATS MILLING (PVT) LTD.,OAT BASED FOOD PRODUCTS,M B WICKRAMASINGHE,Manufacturing,AUSSEE OATS MILLING (PVT) LTD,"NO 28, BOI",EPZ,114389986,,accounts1@ausseeotas.com
156,AUSTIN GLOVES(Minuwangoda) LTD.,PLEASE REFER ENT. CODE = 0020,T. A. DOLE - DIRECTOR,Apparel,"NO. 108, ""PROPERTEX COURT""",W.A.D. RAMANAYAKE MW.,COLOMBO 02.,"2326906, 2706435,0712-762451",2440490,anver.dole@austingloves.com
157,AUSTON INSTITUTE OF MANAGEMENT CEYLON L.,"TRAINING INSTITUTE IN THE AREA OF BUSINESS, ENGINEERING & IT",MR.GAMINI JEYASURIYA,Knowledge Services,"NO. C 72/2, SOYSAPURA",KATUBEDDA,MORATUWA,2576596,,gamini.j@auston.edu.lk
158,AUSTRALIAN COL.OF BUSINESS AND TEC. PL,HIGHER EDUCATION INSTITUTE,SAMINDIE KARUNARATNE- FINANCE MANAGER,Knowledge Services,NO.442,GALLE RD.,COLOMBO 03.,2-565511,2-565594,samindie.karunarathne@acbt.lk
159,AUSTRALIAN COL.OF BUSINESS TECH. PL-EXP,HIGHER EDUCATION INSTITUTE,R S KULASEKERA,Knowledge Services,NO. 101,INNER FLOWER RD.,COLOMBO 03,2573894,2573609,sspsec@sltnet.lk
160,AUTOGROUP INTERNATIONAL (PVT) LTD.,CONVERSION IMPORT. LEFT HAND DRIVING VEHICLES TO RIGHT HAND,DESHAPRIYA WIJEBANDARA,Manufacturing,NO 308,AWISSAWELLA - COLOMBO ROAD,"HEWAGAMA , KADUWELA",2548800/ 0777320340,2548855,ajith@ovssl.com
161,AVANI INTERNATIONAL (PVT) LTD.,REGIONAL OPERATING HEADQUARTERS  CO.,M RIZVAN SAHABDEEN - CHAIRMAN,Services,"NO. 86, 4TH FLOOR",GALLE RD.,COLOMBO 03.,2399601/2/8,2399603/4,sifanicare@eureka.lk
162,AVERY DENNISON LANKA (PVT) LTD.,GARMENT LABLES & SYSTEM SOLUTIONS,DINESHA S PANAPITIYA,Apparel,"""BLOCK B""",E.P.Z.,BIYAGAMA.,"24,650,000,773,580,600",2465011,dinesha.panapitiya@ap.averyden
163,AYURVEDA KURKLINIK MAHO (PVT) LTD.,AYURVEDIC HOSPITAL,M.A.D.S.PERERA,Infrastructure,KINGDOM ROAD,YAPAHUWA,MAHO.,037 2275826,037-2275496,sunil@maho-ayurveda.com
164,AYURVEDA PARAGON (PVT) LTD.,AYURVEDA & HOLISTIC HEALTH RESORT - 50 ROOMS,SUDATH DE SILVA-ACCOUNTANT,Tourism & Leisure,P.O. BOX 01,UNAWATUNA SOUTH,TALPE.,091 2283460-1,091-4384800/2283436,ayurveda.paragon@pan.lk
165,B A F F POLYMECH (PVT) LTD.,"RUBBER,POLYURETHANE & POLYMER PRODUCTS & BOATS & SAILS",MS HIMALI NILANGANI- ADMIN.MANAGER,Manufacturing,C/O LOADSTAR (PVT) LTD.,PELANA,WELIGAMA,712336700,,himali.nilangani@baffpolymech.com
166,B C A S SCHOOL OF ENGINEERING & TECH. P.,TRAINING CENTER TO TRAIN ENGINEERING & COMPUTING PROFESSIONS,M M ABDUL RAHUMAN,Knowledge Services,NO. 32,DHARMARAMA RD.,COLOMBO 06,0777 317092,2554045,info@bcas.lk
167,B G N INDUSTRIAL TYRE (PVT) LTD.,SOLID TYRES,DILSHAN PERERA,Manufacturing,"NO. 81/4, PUWAKGAHAWELLA RD.",WERAGALA,PADUKKA,711271830,0112 830241,dishan.bgn@arpico.com
168,B S H VENTURES (PVT) LTD.,MFG. & ASSEMBLE BICYCLES  & CORRUGATED CARTONS,JEHAN ANTHONY PERUMA - EXE. DIRECTOR,Manufacturing,"BLOCK ""B""","BEPZ , BIYAGAMA",MALWANA.,"1,126,882,810,773,220,000",112489961,jehan@bshsrilanka.com
169,B. SHARP LANKA (PVT) LTD.,DEVELOP SOFTWARE,ANUSHA GOONERATNE - OFFICE MANAGER,Knowledge Services,"NO. 25 , ROTUNDA GARDENS",COLOMBO 06.,,2478923 / 077 3409001,2502376,anushag@bshap.com
170,B. TWO ENGINEERING (PVT) LTD.,"ELECT. & MECHANICAL MACHINERY,FRP,MOULD & TOOL MAKING",UWE BECKER - MANAGING DIRECTOR,Manufacturing,LOT 88 B,"RING ROAD 03, IPZ",KATUNAYAKE.,112265294,011-2265293,uwe@b2-engineering.com
171,B.S.A.CRESCENT ACADEMY (PVT) LTD.,IT INSTITUTE,A W M FAIZAL,Knowledge Services,NO. 31A,VAVERSET PLACE,COLOMBO 06,077 3476109,,info@smartbizsolv.com
172,BALASOORIYA HOSPITALS (PVT) LTD.,HOSPITAL,B M A P G BALASOORIYA,Infrastructure,NO. 118/A,KURUNEGALA RD.,PUTTALAM.,071 1449950,032 2266299,priyanthalalbalasooriya@gmail.com
173,BALFOUR BEATTY CEYLON (PVT) LTD.,HIGH VOLTAGE SUBSTATION EQUIP.,MISS PAULINE PEIRIS,Manufacturing,"PHASE III, E.P.Z.",KATUNAYAKE.,,011-2261306,2252371,pauline.peiris@bbusl.com
174,BAM EXPORT SERVICES (PVT) LTD.,SERVICES FOR APPAREL SECTOR,SADHEER WEERAKOON,Apparel,NO. 120/1,STATION RD.,HOMAGAMA.,7796900 ext.(948),7796820,sadheer@bamholdings.com
175,BAM EXPORTS (PVT) LTD.,EMBROIDERY & TEXTILE SCREEN PRINTING,SADHEER WEERAKOON,Apparel,NO. 120/1,STATION ROAD,HOMAGAMA.,011-7796900,117796820,sadheer@bamholdings.com
176,BAM KNITTING (PVT) LTD.,KNITTED RIB,J.K.A.P JAYASINGHE,Apparel,"NO 52, SIR MARCUS FERNANDO MW",COLOMBO - 07,,117796900,377796902,asela.j@bamholdings.com
177,BAMBARAPANA HYDROPOWER (PVT) LTD.,2.5 MW HYDRO POWER PLANT,SAMEERA GANEGODA,Utilities,NO. 08,ROSMEAD PLACE,COLOMBO 07,0112 698586,0112 697283,sameera@ ltlprojects.lk
178,BANYAN TREE (PVT) LTD.,RECREATIONAL CENTRE & DEER PARK RESORT,CHANDIMA PRASANNA - ACCOUNTANT,Tourism & Leisure,"NO. 75 B , ANGSANA CITY CLUB & SPA",CRESCAT CITY,COLOMBO 03.,2424636,2424255,k.sujeewa@angsana.com
179,BARBERYN AYURVEDIC BEACH RESORT (P) LTD.,AYURVEDIC HEALTH RESORT - 90 ROOMS,INDOKA DE SILVA-MANAGER ADMINISTRATION,Tourism & Leisure,BARBERYN REEF HOTEL LTD.,MORAGALLA,BERUWELA.,034-5580177,034-2276037,barberyn@slt.lk
180,BATTI INN (PVT) LTD.,TOURIST HOTEL - 20 ROOMS,MUTHUKUMAR SELVARAJAH,Tourism & Leisure,NO. 2,BUNDINGS LANE,BATTICALOA,065 2223242,065 2229221,ssmselva62@gmail.com
181,BAYWATCH ECO RESORT VILLAGE (PVT) LTD.,ECO RESORT - 25 ROOMS,A I HUSSEN,Tourism & Leisure,NO. 51/1,FIFE RD.,COLOMBO 05,0777 553848,,ihassen@slt.lk
182,BEACH RESORTS KOSGODA (PVT) LTD.,28 ROOMED BOUTIQUE HOTEL AT KOSGODA,MR.SANDUN HETTIGE,Tourism & Leisure,"LEVEL 21, WEST TOWER,",WORLD TRADE CENTRE,COLOMBO 01,077 7654361,011 2331756,sandun@asiacapital.lk
183,BEEHIVE INDUSTRIES (PVT) LTD.,SYNTHETIC SAPPHIRE,K.U.G.I. THISARA KUMARA,Manufacturing,BEEHIVE INDUSTRIES (PVT) LTD.,IDUSTRIAL ESTATE,PARADISE,045-2262694,045-2262298,beehivenew1@sltnet.lk
184,BEIRA ENVIRO SOLUTIONS (PVT) LTD.,MONO FILAMENT YARN,V SELVARAJ,Manufacturing,"LEVEL 17, ACCESS TOWERS","NO. 278/4, UNION PLACE,",COLOMBO 02,011-2307168,2307168,selva@beiragroup.com
185,BEIRA ENVIRO SOLUTIONS (PVT) LTD. - EXP,MONO FILAMENT YARN,V SELVARAJ,Manufacturing,"48, PARK ST.",COLOMBO 02,,2307168,2307169,selva@beiragroup.com
186,BELDEN INDUSTRIES (PVT) LTD.,LEATHER WORK GLOVES & FLAME RETARDANT INDUSTRIAL JACKETS.,MR.LASITHA PATHIRANA -MANAGING DIRECTOR,Manufacturing,"NO. 283,  KAPUNGODA",PAMUNUGAMA.,,011-4324633,011-4234381,lpathirana@bendenind.com
187,BELLE GROUP (PVT) LTD.,"POLYTHENE BAGS, WOODEN BOXES & PALLETS",U JUDE PRIYANTHA FERNANDO,Manufacturing,NO. 23/B,INDUSTRIAL ZONE,DANKOTUWA,773111516,031 2258518,belleinteriors@sltnet.lk
188,BEN CONSORTIUM & CONSTRUCTIONS (PVT) LTD,APARTMENT COMPLEX,MR. J A PUSHPARAJAH-SENIOR ADMIN MANAGER,Infrastructure,"NO. 14 1/1, 37TH LANE",WELLAWATTE,COLOMBO 06,"077 7711972, 0773263512",0112 360400,info@bennconsortium.com
189,BENJI LTD.,GARMENTS,CHRISTOPHER GEORGE,Apparel,WELLARAWA ESTATE,BINGIRIYA.,,032-4868000,032-4868034,christopher.george@benjiltd.or
190,BERNARD BOTEJU IND. LTD.,GARMENTS,MR.H L D SANDEEPA - ACCOUNTANT,Apparel,KAHATAGAHA WATTA,HIKKADUWA EAST,HIKKADUWA,718376512,112856126,dimuthu@bernardbotejue.com
191,BERUWALA HOLIDAY RESORTS (PVT) LTD.,HOTEL-201 ROOMS,B J S M SENANAYAKE,Tourism & Leisure,NO. 117,SIR CHITTAMPALAM A.,GARDINER MAWATHA,2306603,2439046,sunimal@cinnamonhotels.com
192,BERUWALA RESORTS LTD.,EXPAND THE HOTEL - 106 ROOMS,T THEYAGAMURTHI,Tourism & Leisure,"NO. 8, 1/3, YORK ARCADE BLDG.",LAYDEN BASTIAN RD.,COLOMBO 01,5367285,5367285,yorkhotels@gmail.com
193,BESTEX WORLD (PVT) LTD.,HANDICRAFT ITEMS,Y K KIM,Manufacturing,NO. 10,HORNCASTLE ESTATE,"KANUWANA, JA-ELA",94-11-2248891/92,011-2248891,dipgo_glove@haver.com
194,BETA POWER (PVT) LTD.,10 MW WIND POWER PLANT,MR. LASITH WIMALASENA,Utilities,NO. 334,T B JAYAH MW.,COLOMBO 10,011 2697151,011 4645424,lasith@windforce.lk
195,BETTANS LANKA EXPORTS (PVT) LTD.,"SHOES-GENTS, LADIES & CHILDREN",CHANDRALAL DE SILVA - CHAIRMAN,Manufacturing,NO. 127/18,"KANDY RD., DALUGAMA",KELANIYA.,"29,139,945,757,520",2910678,bettansshoes@sltnet.lk
196,BETTER WORLD INTERNATIONAL (PVT) LTD.,MIXED DEVELOPMENT PROJECT,P R P KURUKULASURIYA,Infrastructure,"NO. 10/20, 1ST LANE","MAHINDARAMA RD. , ETHUL KOTTE",KOTTE,0777 723895,112856608,bwipvtltd@gmail.com
197,BHAGYA HYDRO (PVT) LTD.,0.8 MW MINI HYDRO POWER PLANT,MR.K A B H I SENEVIRATHNE -ACCOUNTANT,Utilities,NO. 400,DEANS RD.,COLOMBO 10.,077-1584227/011-2381111,011-2381115,mahesh.senevirathna@hayleyspower.com
198,BHARTI AIRTEL LANKA (PVT) LTD.,MOBILE TELECOMMUNICATION PROJECT,MR JINESH HEGDE - CEO,Utilities,"LEVEL 11, WEST TOWER,","WORLD TRADE CENTER,",COLOMBO1.,075-9557000,011-2448934,jinesh.hegde@airtel.com
199,BHARTI AIRTEL LANKA (PVT) LTD.- EXP,MOBILE COMMUNICATION,MR  SUREN  GOONEWARDENE,Utilities,"LEVEL11,WEST TOWER,",WORLD TRADE CENTER,COLOMBO1,075-9557000,011-2448934,suren.goonewardene@lk.airtel.com
200,BHARTI AIRTEL LANKA (PVT) LTD.-EXP 2,MOBILE TELECOMMUNICATION PROJECT,SUREN GOONEWARDENE,Utilities,"LEVEL 11, WEST TOWER","WORLD TRADE CENTER, ECHELON SQUARE",COLOMBO 01,755501555,112448934,suren.goonewardene@lk.airtel.com
201,BHORUKA POWER LANKA (PVT) LTD.,2.4 MW MINI HYDRO POWER PROJECT AT KEGALLE,R K A RANAWEERA,Utilities,JAYASINGHE & CO.,"NO. 8, GREENLANDS AVE.",COLOMBO 05.,"581369, 585835",,ranjan.mather@gmail.com
202,BHUWALKA STEEL IND.(SRI LANKA) LTD.,STEEL ROLLED PRODUCTS,MR. THANUJA KUMAR PARIDA - ASST.GM,Manufacturing,"5 - 10, EAST TOWER","5TH FLOOR, WORLD TRADE CENTRE",COLOMBO 1.,2382455/2382466/0753800647,2382477,bsil@sltnet.lk
203,BIO ENERGY SOLUTION (PVT) LTD.,2 MW BIOMASS POWER PLANT,Z M HAIRU,Utilities,NO. 16,DHARMASOKA MW.,KANDY,"081-2202360,077-4776161",081-2202361,info@bioenergysolution.lk
204,BIO EXTRACTS (PVT) LTD.,DISTILLATION OF ESSENTIAL OIL,A.G ABUBUCKER - HEAD OF FINANCE,Agriculture,"NO. 672/4, MAYURA MW",OFF MALIGAWA RD,RATMALANA,"+94 11 4656803,+94 77 3688680",+94 11 2635860,abu@baraka.lk
205,BIO EXTRACTS (PVT) LTD.-EXPANSION,DISTILLATION OF ESSENTIAL OIL,MR. M RIZA BAHARDEEN,Agriculture,NO. 11 A,MILEPOST AVE.,COLOMBO 03.,0777-701436,,
206,BIO GROW LANKA (PVT) LTD.,COIR DUST SLABS,W.A.D. DEEPTHI,Manufacturing,NO. 191,DADUGAMA,JA-ELA.,077-3077098/0314933906,0314-870008,biogrow.deepthi@gmail.com
207,BISCHOFF GAMMA LANKA (PVT) LTD., EMBROIDERY LACE,H.R.D DEWAPRIYA,Apparel,C-7A  &  7B,"EPZ, SEETHAWAKA",AVISSAWELLA,011-2024211,011-2024224,ruwand@bischoffgamma-lanka.lk
208,BLACK WATER POWER (PVT) LTD.,0.68 MW MINI HYDRO POWER PLANT,MR TENNEKOON RUPASIRIPALA -DIRECTOR,Utilities,NO. 11/A,"N J V COORAY MAWATHA,",RAJAGIRIYA,"011/2887292,011-2883048",112889048,coastal@sltnet.lk
209,BLISS PROPERTY DEVELOPERS (PVT) LTD.,APARTMENT COMPLEX,A M MUZZAMMIL - MANAGER,Infrastructure,NO.08,SEA AVENUE,COLOMBO 03,0773-776774,4201797,bliss@wow.lk
210,BLUE BAY MINERAL INTERNATIONAL (PVT) LTD,VALUE ADDED HIGH GRADE QUARTZ POWDER,T N RATHNAYAKE,Manufacturing,NO. 263,PARAKETAWELLA,PILIMATHALAWA,081 5632682,081-5638330,bbmsl@yahoo.com
211,BLUE OCEAN FISHERY (PVT) LTD.,DEEP SEA FISHING,WANG SHENG BO,Agriculture,23/7 SCHOFILED PLACE,COLOMBO 03,,,011 2055148,bf_041204@126.com
212,BLUE OCEAN RESIDENCIES (PVT) LTD.,APARTMENT COMPLEX,A.ANOSAN,Infrastructure,"NO. 32, 2ND FLOOR",GALLE RD.,DEHIWALA,777729555,2722204,planning@blueocean.lk
213,BLUE OCEANIC BEACH HOTEL (PVT) LTD.,REFURBISHMENT OF BLUE OCEANIC BEACH HOTEL - 100 ROOMS,R A E SAMARASINGHE,Tourism & Leisure,"""JETWING HOUSE""","NO. 46/26, NAWAM MW.",COLOMBO 02,2345700,"4627908, 2345729",ruan@jetwinghotels.com
214,BLUE WHALE LANKA (PVT) LTD.,TO SET UP A 20  ROOMED BEACH HOTEL AT DALAWELLA,PRABATH ASOKA PIYADASA,Tourism & Leisure,"NO:32,STEELE ROAD,",GALLE,,"091 2223187, 077 7316421",,chathu96@yahoo.com
215,BLUESCOPE LYSAGHT LANKA (PVT) LTD.,STEEL PRODUCTS,MR PRASAD KARNIK - COUNTRY MANAGER,Manufacturing,"26 & 27, SAPUGASKANDA IND. ESTATE","PATTIWILA RD., PATTIWILA RD","SAPUGASKANDA, MAKOLA.",2400611-6/0775990355,2400618,prasad.karnik@bluescpesteel.lk
216,BODYLINE (PVT) LTD.,GARMENTS - FOUNDATION,SURATH CHANDRASENA,Apparel,RATNAPURA RD.,GURUGODA,HORANA.,034-42855500/077-7879051,034-4285512,surathc@masholdings.com
217,BODYLINE (PVT) LTD. - EXP1,GARMENTS - FOUNDATION,ROHAN RANASINGHE - HEAD OF COMMERCIAL,Apparel,,,,4520205,5510955/2574747,RohanR@masholdings.com
218,BODYLINE (PVT) LTD. -EXP5,GARMENT FOR EXPORT,STANLEY WIJESINGHE,Apparel,BODYLINE (PVT) LTD,"RATNAPURA ROAD, GURUGODA",HORANA,348285500,348285512,stanleyw@masholdings.com
219,BOEHM & LECKNER MULTI MOULDS (PVT) LTD.,"STEEL INJ.MOULD,ENG. COMPONENT",K A R P NANAYAKKARA,Manufacturing,33 RING ROAD,IPZ,KATUNAYAKA,112253415,112252623,rajn@sltnet.lk
220,BOGO POWER (PVT) LTD.,4000 KW MINI HYDRO POWER PLANT,DR. N M ABDUL GAFFAR,Utilities,NO. 833,SIRIMAVO BANDARANAYAKE MW.,COLOMBO 14,2524734,2540333,gaff@eureka.lk
